gammelt_nr,navn,start_yr,end_yr,nr_2024
1246,Fjell,,2019,4626
1247,Askøy,,2019,4627
1248,Laksevåg,1918,1971,
1249,Fana,,1971,
1250,Arna,1964,1971,
1251,Vaksdal,1964,2019,4628
1252,Modalen,1910,2019,4629
1253,Osterøy,1964,2019,4630
1254,Hamre,,1963,
1255,Åsane,,1971,
1256,Meland,1924,2019,4631
1257,Alversund,,1963,
1258,Herdla,,1963,
1259,Øygarden,1964,2019,4626
1260,Radøy,1964,2019,4631
1261,Manger,,1963,
1262,Sæbø,1924,1963,
1263,Lindås,,2019,4631
1264,Austrheim,1910,2019,4632
1265,Fedje,1948,2019,4633
1266,Masfjorden,,2019,4634
1301,Bergen,,1971,4601
1401,Flora,1964,2019,4602
1411,Gulen,,2019,4635
1412,Solund,,2019,4636
1413,Hyllestad,,2019,4637
1414,Brekke,,1963,
1415,Lavik,,1963,
1416,Høyanger,1964,2019,4638
1417,Vik,,2019,4639
1418,Balestrand,,2019,4640
1419,Leikanger,,2019,4642
1420,Sogndal,,2019,4640
1421,Aurland,,2019,4641
1422,Lærdal,,2019,4642
1423,Borgund,,1963,
1424,Årdal,,2019,4643
1425,Hafslo,,1962,
1426,Luster,,2019,4644
1427,Jostedal,,1962,
1428,Askvoll,,2019,4645
1429,Fjaler,,2019,4646
1430,Gaular,,2019,4646
1431,Jølster,,2019,4647
1432,Førde,,2019,4647
1433,Naustdal,,2019,4647
1434,Vevring,,1963,
1435,Eikefjord,1923,1963,
1436,Bru,1923,1963,
1437,Kinn,,1963,4602
1438,Bremanger,,2019,4648
1439,Vågsøy,1964,2019,4602
1440,Nord-Vågsøy,1910,1963,
1441,Selje,,2019,4649
1442,Davik,,1964,
1443,Eid,,2019,4649
1444,Hornindal,,2019,4650
1445,Gloppen,,2019,4650
1446,Breim,,1963,
1447,Innvik,,1964,
1448,Stryn,,1976,4651
1449,Stryn,1977,2019,4651
1501,Ålesund,,1976,1508
1502,Molde,,2019,1506
1503,Kristiansund,,2007,1505
1504,Ålesund,1977,2019,1508
1505,Kristiansund,,,1505
1506,Molde,,,1506
1507,Ålesund,2020,2023,1508
1508,Ålesund,,,1508
1511,Vanylven,,,1511
1512,Syvde,1918,1963,
