kom2024,parti,stemmer
3314,02,1308
3314,03,1977
3314,04,483
3314,05,825
3314,06,647
3314,07,126
3314,08,26
3314,14,55
3314,15,27
3316,01,3884
3316,02,795
3316,03,1303
3316,04,373
3316,05,757
3316,06,471
3316,07,103
3316,08,21
3316,14,37
3316,15,24
3318,01,679
3318,02,168
3318,03,287
3318,04,65
3318,05,177
3318,06,162
3318,07,21
3318,08,1
3318,14,6
3318,15,3
3320,01,407
3320,02,73
3320,03,142
3320,04,50
3320,05,92
3320,06,42
3320,07,5
3320,14,1
3320,15,2
3322,01,903
3322,02,159
3322,03,420
3322,04,228
3322,05,284
3322,06,126
3322,07,62
3322,08,6
3322,14,7
3322,15,5
3324,01,828
3324,02,302
3324,03,574
3324,04,258
3324,05,395
3324,06,174
3324,07,121
3324,08,6
3324,14,13
3324,15,5
3326,01,234
3326,02,72
3326,03,232
3326,04,144
3326,05,261
3326,06,56
3326,07,24
3326,08,3
3326,14,1
3326,15,4
3328,01,856
3328,02,283
3328,03,601
3328,04,390
3328,05,470
3328,06,198
3328,07,155
3328,08,9
3328,14,10
3328,15,12
3330,01,967
3330,02,426
3330,03,740
3330,04,203
3330,05,267
3330,06,162
3330,07,118
3330,08,5
3330,14,7
3330,15,6
3332,01,902
3332,02,245
3332,03,509
3332,04,78
3332,05,602
3332,06,97
3332,07,61
3332,08,2
3332,14,10
3332,15,1
3334,01,548
3334,02,203
3334,03,355
3334,04,85
3334,05,260
3334,06,95
3334,07,54
3334,08,8
3334,14,4
3334,15,5
3336,01,331
3336,02,67
3336,03,121
3336,04,86
3336,05,242
3336,06,85
3336,07,18
3336,08,2
3336,14,3
3336,15,4
3338,01,674
3338,02,168
3338,03,288
3338,04,125
3338,05,412
3338,06,141
3338,07,22
3338,08,5
3338,14,5
3338,15,7
3401,01,5901
3401,02,1273
3401,03,1386
3401,04,340
3401,05,601
3401,06,1383
3401,07,166
3401,08,29
3401,15,42
3403,01,8578
3403,02,1250
3403,03,3230
3403,04,658
3403,05,702
3403,06,2149
3403,07,322
3403,08,74
3403,15,87
3405,01,6234
3405,02,1542
3405,03,2825
3405,04,722
3405,05,1051
3405,06,1777
3405,07,411
3405,08,66
3405,15,65
3407,01,8910
3407,02,1687
3407,03,2578
3407,04,1099
3407,05,1137
3407,06,1406
3407,07,317
3407,08,50
3407,15,72
3411,01,10515
3411,02,1319
3411,03,2523
3411,04,754
3411,05,2070
3411,06,2139
3411,07,252
3411,08,86
3411,15,50
3412,01,2706
3412,02,300
3412,03,426
3412,04,98
3412,05,444
3412,06,526
3412,07,29
3412,08,9
3412,15,28
3413,01,6625
3413,02,758
3413,03,1129
3413,04,427
3413,05,923
3413,06,1451
3413,07,142
3413,08,41
3413,15,45
3414,01,2415
3414,02,260
3414,03,222
3414,04,82
3414,05,238
3414,06,436
3414,07,18
3414,08,14
3414,15,5
3415,01,2939
3415,02,393
3415,03,424
3415,04,105
3415,05,473
3415,06,571
3415,07,51
3415,08,15
3415,15,24
3416,01,2384
3416,02,341
3416,03,397
3416,04,185
3416,05,319
3416,06,409
3416,07,47
3416,08,14
3416,15,6
3417,01,2252
3417,02,306
3417,03,360
3417,04,115
3417,05,430
3417,06,397
3417,07,45
3417,08,19
3417,15,7
3418,01,2684
3418,02,496
3418,03,423
3418,04,255
3418,05,626
3418,06,859
3418,07,53
3418,08,29
3418,15,17
3419,01,1345
3419,02,317
3419,03,293
3419,04,83
3419,05,313
3419,06,403
3419,07,22
3419,08,15
3419,15,5
3420,01,5218
3420,02,1318
3420,03,1787
3420,04,263
3420,05,782
3420,06,1214
3420,07,233
3420,08,40
3420,15,51
3421,01,2392
3421,02,299
3421,03,521
3421,04,267
3421,05,623
3421,06,505
3421,07,91
3421,08,23
3421,15,10
3422,01,1444
3422,02,244
3422,03,307
3422,04,45
3422,05,330
3422,06,519
3422,07,18
3422,08,10
3422,15,31
3423,01,1216
3423,02,148
3423,03,240
3423,04,20
3423,05,238
3423,06,309
3423,07,30
3423,08,12
3423,15,8
3424,01,926
3424,02,156
3424,03,145
3424,04,32
