kode,aar,kom2024,andel,metode
1559,1945,1557,0.166845,1951-oversetting
1559,1945,1560,0.833155,1951-oversetting
1560,1945,1557,0.166845,1951-oversetting
1560,1945,1560,0.833155,1951-oversetting
1561,1945,1563,1.0,1951-oversetting
1562,1945,1563,1.0,1951-oversetting
1563,1945,1563,1.0,1951-oversetting
1564,1945,1560,0.013542,1951-oversetting
1564,1945,1563,0.264583,1951-oversetting
1564,1945,1566,0.721875,1951-oversetting
1565,1945,1566,1.0,1951-oversetting
1566,1945,1566,1.0,1951-oversetting
1567,1945,5061,1.0,1951-oversetting
1568,1945,1576,1.0,1951-oversetting
1569,1945,1576,1.0,1951-oversetting
1570,1945,1576,0.113253,1951-oversetting
1570,1945,5055,0.886747,1951-oversetting
1571,1945,5055,1.0,1951-oversetting
1572,1945,1576,1.0,1951-oversetting
1573,1945,1573,1.0,1951-oversetting
1574,1945,1573,1.0,1951-oversetting
1575,1945,1573,1.0,1951-oversetting
1601,1945,5001,1.0,1951-oversetting
1611,1945,5055,1.0,1951-oversetting
1612,1945,5055,1.0,1951-oversetting
1613,1945,5055,0.153333,1951-oversetting
1613,1945,5056,0.339048,1951-oversetting
1613,1945,5059,0.507619,1951-oversetting
1614,1945,5055,0.572831,1951-oversetting
1614,1945,5056,0.17106,1951-oversetting
1614,1945,5059,0.256109,1951-oversetting
1615,1945,5056,1.0,1951-oversetting
1616,1945,5056,1.0,1951-oversetting
1617,1945,5056,1.0,1951-oversetting
1618,1945,5056,1.0,1951-oversetting
1619,1945,5014,1.0,1951-oversetting
1620,1945,5014,1.0,1951-oversetting
1621,1945,5057,1.0,1951-oversetting
1622,1945,5055,0.027931,1951-oversetting
1622,1945,5056,0.06176,1951-oversetting
1622,1945,5059,0.91031,1951-oversetting
1623,1945,5059,1.0,1951-oversetting
1624,1945,5054,1.0,1951-oversetting
1625,1945,5054,0.904309,1951-oversetting
1625,1945,5059,0.095691,1951-oversetting
1626,1945,5054,0.734277,1951-oversetting
1626,1945,5057,0.265723,1951-oversetting
1627,1945,5057,1.0,1951-oversetting
1628,1945,5057,1.0,1951-oversetting
1629,1945,5057,1.0,1951-oversetting
1630,1945,5058,1.0,1951-oversetting
1631,1945,5058,1.0,1951-oversetting
1632,1945,5058,1.0,1951-oversetting
1633,1945,5020,1.0,1951-oversetting
1634,1945,5021,1.0,1951-oversetting
1635,1945,5022,1.0,1951-oversetting
1636,1945,5059,1.0,1951-oversetting
1637,1945,5059,1.0,1951-oversetting
1638,1945,5059,1.0,1951-oversetting
1639,1945,5059,1.0,1951-oversetting
1640,1945,5025,1.0,1951-oversetting
1641,1945,5025,1.0,1951-oversetting
1642,1945,5025,1.0,1951-oversetting
1643,1945,5025,1.0,1951-oversetting
1644,1945,5026,1.0,1951-oversetting
1645,1945,5026,1.0,1951-oversetting
1646,1945,5027,1.0,1951-oversetting
