kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
1112,2011,08,0,1627,0.0
1112,2011,55,0,1627,0.0
1112,2015,01,537,1580,33.99
1112,2015,02,276,1580,17.47
1112,2015,03,224,1580,14.18
1112,2015,04,236,1580,14.94
1112,2015,05,188,1580,11.9
1112,2015,06,0,1580,0.0
1112,2015,07,119,1580,7.53
1112,2015,08,0,1580,0.0
1112,2015,55,0,1580,0.0
1112,2019,01,344,1673,20.56
1112,2019,02,239,1673,14.29
1112,2019,03,323,1673,19.31
1112,2019,04,300,1673,17.93
1112,2019,05,369,1673,22.06
1112,2019,06,0,1673,0.0
1112,2019,07,98,1673,5.86
1112,2019,08,0,1673,0.0
1112,2019,55,0,1673,0.0
1112,2023,01,240,1700,14.12
1112,2023,02,246,1700,14.47
1112,2023,03,386,1700,22.71
1112,2023,04,471,1700,27.71
1112,2023,05,335,1700,19.71
1112,2023,06,0,1700,0.0
1112,2023,07,22,1700,1.29
1112,2023,08,0,1700,0.0
1112,2023,55,0,1700,0.0
1114,1987,01,168,1228,13.68
1114,1987,02,0,1228,0.0
1114,1987,03,197,1228,16.04
1114,1987,04,341,1228,27.77
1114,1987,05,386,1228,31.43
1114,1987,06,0,1228,0.0
1114,1987,07,0,1228,0.0
1114,1987,08,0,1228,0.0
1114,1987,55,0,1228,0.0
1114,1991,01,153,1305,11.72
1114,1991,02,0,1305,0.0
1114,1991,03,162,1305,12.41
1114,1991,04,348,1305,26.67
1114,1991,05,555,1305,42.53
1114,1991,06,0,1305,0.0
1114,1991,07,0,1305,0.0
1114,1991,08,0,1305,0.0
1114,1991,55,0,1305,0.0
1114,1995,01,181,1334,13.57
1114,1995,02,0,1334,0.0
1114,1995,03,191,1334,14.32
1114,1995,04,343,1334,25.71
1114,1995,05,619,1334,46.4
1114,1995,06,0,1334,0.0
1114,1995,07,0,1334,0.0
1114,1995,08,0,1334,0.0
1114,1995,55,0,1334,0.0
1114,1999,01,199,1263,15.76
1114,1999,02,0,1263,0.0
1114,1999,03,274,1263,21.69
1114,1999,04,356,1263,28.19
1114,1999,05,434,1263,34.36
1114,1999,06,0,1263,0.0
1114,1999,07,0,1263,0.0
1114,1999,08,0,1263,0.0
1114,1999,55,0,1263,0.0
1114,2003,01,162,1237,13.1
1114,2003,02,0,1237,0.0
1114,2003,03,366,1237,29.59
1114,2003,04,283,1237,22.88
