kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,estimert,sikkerhet
1515,Herøy (Møre og Romsdal),1945,05,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,06,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,07,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,08,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,55,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,09,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,90,83.0,2272.0,3.65,False,lav
1515,Herøy (Møre og Romsdal),1945,99,2080.0,2272.0,91.55,False,lav
1516,Ulstein,1945,01,133.0,1140.0,11.67,False,lav
1516,Ulstein,1945,02,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,03,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,04,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,05,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,06,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,07,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,08,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,55,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,09,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,90,0.0,1140.0,0.0,False,lav
1516,Ulstein,1945,99,1007.0,1140.0,88.33,False,lav
1517,Hareid,1945,01,196.0,1181.0,16.6,False,lav
1517,Hareid,1945,02,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,03,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,04,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,05,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,06,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,07,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,08,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,55,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,09,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,90,0.0,1181.0,0.0,False,lav
1517,Hareid,1945,99,985.0,1181.0,83.4,False,lav
1520,Ørsta,1945,01,548.0,3364.0,16.29,False,lav
1520,Ørsta,1945,02,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,03,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,04,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,05,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,06,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,07,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,08,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,55,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,09,0.0,3364.0,0.0,False,lav
1520,Ørsta,1945,90,195.0,3364.0,5.8,False,lav
1520,Ørsta,1945,99,2621.0,3364.0,77.91,False,lav
1525,Stranda,1945,01,166.0,1662.0,9.99,False,lav
1525,Stranda,1945,02,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,03,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,04,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,05,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,06,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,07,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,08,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,55,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,09,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,90,0.0,1662.0,0.0,False,lav
1525,Stranda,1945,99,1496.0,1662.0,90.01,False,lav
1528,Sykkylven,1945,01,271.0,1638.33,16.54,True,lav
1528,Sykkylven,1945,02,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,03,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,04,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,05,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,06,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,07,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,08,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,55,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,09,0.0,1638.33,0.0,True,lav
1528,Sykkylven,1945,90,30.72,1638.33,1.88,True,lav
1528,Sykkylven,1945,99,1336.61,1638.33,81.58,True,lav
1531,Sula,1945,01,587.55,1924.88,30.52,True,lav
1531,Sula,1945,02,0.0,1924.88,0.0,True,lav
1531,Sula,1945,03,185.79,1924.88,9.65,True,lav
1531,Sula,1945,04,176.56,1924.88,9.17,True,lav
1531,Sula,1945,05,0.0,1924.88,0.0,True,lav
1531,Sula,1945,06,0.0,1924.88,0.0,True,lav
1531,Sula,1945,07,288.16,1924.88,14.97,True,lav
1531,Sula,1945,08,0.0,1924.88,0.0,True,lav
1531,Sula,1945,55,0.0,1924.88,0.0,True,lav
1531,Sula,1945,09,161.47,1924.88,8.39,True,lav
1531,Sula,1945,90,0.0,1924.88,0.0,True,lav
1531,Sula,1945,99,525.36,1924.88,27.29,True,lav
1532,Giske,1945,01,154.0,1554.0,9.91,False,lav
1532,Giske,1945,02,0.0,1554.0,0.0,False,lav
1532,Giske,1945,03,0.0,1554.0,0.0,False,lav
1532,Giske,1945,04,0.0,1554.0,0.0,False,lav
1532,Giske,1945,05,0.0,1554.0,0.0,False,lav
1532,Giske,1945,06,0.0,1554.0,0.0,False,lav
1532,Giske,1945,07,0.0,1554.0,0.0,False,lav
1532,Giske,1945,08,0.0,1554.0,0.0,False,lav
1532,Giske,1945,55,0.0,1554.0,0.0,False,lav
1532,Giske,1945,09,0.0,1554.0,0.0,False,lav
1532,Giske,1945,90,0.0,1554.0,0.0,False,lav
1532,Giske,1945,99,1400.0,1554.0,90.09,False,lav
1535,Vestnes,1945,01,514.0,1612.0,31.89,False,lav
1535,Vestnes,1945,02,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,03,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,04,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,05,173.0,1612.0,10.73,False,lav
1535,Vestnes,1945,06,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,07,107.0,1612.0,6.64,False,lav
1535,Vestnes,1945,08,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,55,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,09,0.0,1612.0,0.0,False,lav
1535,Vestnes,1945,90,572.0,1612.0,35.48,False,lav
1535,Vestnes,1945,99,246.0,1612.0,15.26,False,lav
1539,Rauma,1945,01,754.81,2565.84,29.42,True,lav
1539,Rauma,1945,02,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,03,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,04,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,05,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,06,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,07,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,08,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,55,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,09,0.0,2565.84,0.0,True,lav
1539,Rauma,1945,90,797.04,2565.84,31.06,True,lav
1539,Rauma,1945,99,1014.0,2565.84,39.52,True,lav
