kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,sum_9parti,prosent_9parti,dekning,estimert
1525,Stranda,1987,04,426,2357,18.07,1986,21.45,1.0,False
1525,Stranda,1987,05,270,2357,11.46,1986,13.6,1.0,False
1525,Stranda,1987,06,0,2357,0.0,1986,0.0,1.0,False
1525,Stranda,1987,07,226,2357,9.59,1986,11.38,1.0,False
1525,Stranda,1987,08,0,2357,0.0,1986,0.0,1.0,False
1525,Stranda,1987,55,0,2357,0.0,1986,0.0,1.0,False
1525,Stranda,1987,99,371,2357,15.74,1986,,1.0,False
1528,Sykkylven,1987,01,794,3340,23.77,3340,23.77,1.0,False
1528,Sykkylven,1987,02,347,3340,10.39,3340,10.39,1.0,False
1528,Sykkylven,1987,03,737,3340,22.07,3340,22.07,1.0,False
1528,Sykkylven,1987,04,560,3340,16.77,3340,16.77,1.0,False
1528,Sykkylven,1987,05,487,3340,14.58,3340,14.58,1.0,False
1528,Sykkylven,1987,06,97,3340,2.9,3340,2.9,1.0,False
1528,Sykkylven,1987,07,318,3340,9.52,3340,9.52,1.0,False
1528,Sykkylven,1987,08,0,3340,0.0,3340,0.0,1.0,False
1528,Sykkylven,1987,55,0,3340,0.0,3340,0.0,1.0,False
1528,Sykkylven,1987,99,0,3340,0.0,3340,,1.0,False
1531,Sula,1987,01,496,3380,14.67,2494,19.89,1.0,False
1531,Sula,1987,02,408,3380,12.07,2494,16.36,1.0,False
1531,Sula,1987,03,609,3380,18.02,2494,24.42,1.0,False
1531,Sula,1987,04,651,3380,19.26,2494,26.1,1.0,False
1531,Sula,1987,05,0,3380,0.0,2494,0.0,1.0,False
1531,Sula,1987,06,0,3380,0.0,2494,0.0,1.0,False
1531,Sula,1987,07,330,3380,9.76,2494,13.23,1.0,False
1531,Sula,1987,08,0,3380,0.0,2494,0.0,1.0,False
1531,Sula,1987,55,0,3380,0.0,2494,0.0,1.0,False
1531,Sula,1987,99,886,3380,26.21,2494,,1.0,False
1532,Giske,1987,01,576,2908,19.81,2886,19.96,1.0,False
1532,Giske,1987,02,0,2908,0.0,2886,0.0,1.0,False
1532,Giske,1987,03,813,2908,27.96,2886,28.17,1.0,False
1532,Giske,1987,04,771,2908,26.51,2886,26.72,1.0,False
1532,Giske,1987,05,560,2908,19.26,2886,19.4,1.0,False
1532,Giske,1987,06,0,2908,0.0,2886,0.0,1.0,False
1532,Giske,1987,07,166,2908,5.71,2886,5.75,1.0,False
1532,Giske,1987,08,0,2908,0.0,2886,0.0,1.0,False
1532,Giske,1987,55,0,2908,0.0,2886,0.0,1.0,False
1532,Giske,1987,99,22,2908,0.76,2886,,1.0,False
1535,Vestnes,1987,01,695,2785,24.96,2347,29.61,1.0,False
1535,Vestnes,1987,02,0,2785,0.0,2347,0.0,1.0,False
1535,Vestnes,1987,03,466,2785,16.73,2347,19.86,1.0,False
1535,Vestnes,1987,04,431,2785,15.48,2347,18.36,1.0,False
1535,Vestnes,1987,05,392,2785,14.08,2347,16.7,1.0,False
1535,Vestnes,1987,06,149,2785,5.35,2347,6.35,1.0,False
1535,Vestnes,1987,07,214,2785,7.68,2347,9.12,1.0,False
1535,Vestnes,1987,08,0,2785,0.0,2347,0.0,1.0,False
1535,Vestnes,1987,55,0,2785,0.0,2347,0.0,1.0,False
1535,Vestnes,1987,99,438,2785,15.73,2347,,1.0,False
1539,Rauma,1987,01,1313,3934,33.38,3934,33.38,1.0,False
1539,Rauma,1987,02,390,3934,9.91,3934,9.91,1.0,False
1539,Rauma,1987,03,760,3934,19.32,3934,19.32,1.0,False
1539,Rauma,1987,04,574,3934,14.59,3934,14.59,1.0,False
1539,Rauma,1987,05,449,3934,11.41,3934,11.41,1.0,False
