kode,aar,befolkning
0134,1953,9198
0134,1954,9351
0134,1955,9506
0134,1956,9631
0134,1957,9746
0134,1958,9847
0134,1959,9901
0134,1960,9951
0134,1961,9952
0134,1962,10203
0134,1963,10366
0134,1964,10531
0134,1965,10683
0134,1966,10783
0134,1967,10858
0134,1968,10751
0134,1969,11007
0134,1970,11233
0134,1971,11313
0134,1972,11431
0134,1973,11521
0134,1974,11593
0134,1975,11784
0134,1976,11793
0134,1977,11790
0134,1978,11831
0134,1979,11984
0134,1980,12098
0134,1981,12101
0134,1982,12124
0134,1983,12330
0134,1984,12364
0134,1985,12488
0134,1986,12519
0134,1987,12499
0134,1988,12723
0134,1989,12774
0134,1990,12869
0135,1951,3421
0135,1952,3460
0135,1953,3529
0135,1954,3531
0135,1955,3580
0135,1956,3670
0135,1957,3720
0135,1958,3715
0135,1959,3764
0135,1960,3827
0135,1961,3804
0135,1962,3814
0135,1963,3841
0135,1964,3859
0135,1965,3951
0135,1966,4016
0135,1967,4130
0135,1968,4291
0135,1969,4391
0135,1970,4416
0135,1971,4463
0135,1972,4546
0135,1973,4627
0135,1974,4725
0135,1975,4924
0135,1976,4970
0135,1977,5046
0135,1978,5257
0135,1979,5284
0135,1980,5355
0135,1981,5416
0135,1982,5524
0135,1983,5644
0135,1984,5779
0135,1985,5829
0135,1986,5819
0135,1987,5864
0135,1988,5924
0135,1989,5930
0135,1990,5995
0136,1951,4606
0136,1952,4635
0136,1953,4729
0136,1954,4932
0136,1955,5262
0136,1956,5833
0136,1957,6223
0136,1958,6601
0136,1959,6736
0136,1960,7052
0136,1961,7431
0136,1962,7705
0136,1963,8221
0136,1964,8340
0136,1965,8698
0136,1966,8836
0136,1967,9086
0136,1968,9217
0136,1969,9337
0136,1970,9408
0136,1971,9476
0136,1972,9600
0136,1973,9620
0136,1974,9623
0136,1975,9541
0136,1976,9732
0136,1977,10096
0136,1978,10392
0136,1979,10786
0136,1980,11128
0136,1981,11338
0136,1982,11515
0136,1983,11544
0136,1984,11532
0136,1985,11540
0136,1986,11606
0136,1987,11592
0136,1988,11884
0136,1989,12077
0136,1990,11991
0137,1951,2336
0137,1952,2406
0137,1953,2403
0137,1954,2362
0137,1955,2344
0137,1956,2415
0137,1957,2377
0137,1958,2390
0137,1959,2396
0137,1960,2388
0137,1961,2355
0137,1962,2348
0137,1963,2342
0137,1964,2335
0137,1965,2288
0137,1966,2268
0137,1967,2257
0137,1968,2209
0137,1969,2174
0137,1970,2196
0137,1971,2360
0137,1972,2362
0137,1973,2368
0137,1974,2417
0137,1975,2440
0137,1976,2611
0137,1977,2728
0137,1978,2954
0137,1979,3132
0137,1980,3227
0137,1981,3323
0137,1982,3384
0137,1983,3409
0137,1984,3492
0137,1985,3507
0137,1986,3594
0137,1987,3742
0137,1988,3847
0137,1989,3883
0137,1990,4070
0138,1951,2794
0138,1952,2812
0138,1953,2803
0138,1954,2859
0138,1955,2898
0138,1956,2762
0138,1957,2691
0138,1958,2711
0138,1959,2709
0138,1960,2688
0138,1961,2719
0138,1962,2743
0138,1963,2714
0138,1964,2725
0138,1965,2755
0138,1966,2815
0138,1967,2798
0138,1968,2844
0138,1969,2906
0138,1970,2901
0138,1971,2975
0138,1972,3042
0138,1973,3099
0138,1974,3131
0138,1975,3213
0138,1976,3294
0138,1977,3371
0138,1978,3435
0138,1979,3511
0138,1980,3552
0138,1981,3603
0138,1982,3638
0138,1983,3682
0138,1984,3754
0138,1985,3789
0138,1986,3781
0138,1987,3783
0138,1988,3809
0138,1989,3881
0138,1990,3980
0201,1951,558
0201,1952,540
0201,1953,532
0201,1954,537
0201,1955,532
0201,1956,527
0201,1957,535
0201,1958,506
0201,1959,492
0201,1960,482
0201,1961,507
0201,1962,507
0201,1963,476
0203,1951,2194
0203,1952,2220
0203,1953,2212
0203,1954,2194
0203,1955,2279
0203,1956,2334
0203,1957,2426
0203,1958,2551
0203,1959,2571
0203,1960,2735
0203,1961,2699
0211,1951,4030
0211,1952,4116
0211,1953,4181
0211,1954,4223
0211,1955,4265
0211,1956,4307
0211,1957,4381
0211,1958,4435
0211,1959,4364
0211,1960,4434
0211,1961,4534
0211,1962,4566
0211,1963,4595
0211,1964,5018
0211,1965,5103
0211,1966,5229
0211,1967,5367
0211,1968,5495
0211,1969,5565
0211,1970,5697
0211,1971,5713
0211,1972,5809
0211,1973,6115
0211,1974,6585
0211,1975,6846
0211,1976,7265
0211,1977,7739
0211,1978,8324
0211,1979,8932
0211,1980,9267
0211,1981,9693
0211,1982,9901
0211,1983,10051
0211,1984,10503
0211,1985,10657
0211,1986,10952
0211,1987,11220
0211,1988,11226
0211,1989,11318
0211,1990,11286
0212,1951,1608
0212,1952,1563
0212,1953,1615
0212,1954,1587
0212,1955,1610
0212,1956,1643
0212,1957,1634
0212,1958,1659
0212,1959,1668
0212,1960,1642
0212,1961,1609
0212,1962,1646
0212,1963,1655
0213,1951,5921
0213,1952,6182
0213,1953,6349
0213,1954,6653
0213,1955,6738
0213,1956,6890
0213,1957,7058
0213,1958,7189
0213,1959,7449
0213,1960,7670
0213,1961,8127
0213,1962,8483
0213,1963,8908
0213,1964,11032
0213,1965,11597
0213,1966,11976
0213,1967,12365
0213,1968,12682
0213,1969,13072
0213,1970,14001
0213,1971,15573
0213,1972,16361
0213,1973,16631
0213,1974,16786
0213,1975,17122
0213,1976,18086
0213,1977,18645
0213,1978,18750
0213,1979,19119
0213,1980,19673
0213,1981,19941
0213,1982,20195
0213,1983,20394
0213,1984,20544
0213,1985,20849
0213,1986,21551
0213,1987,21720
0213,1988,21979
0213,1989,22167
0213,1990,22300
0214,1951,4783
0214,1952,4932
0214,1953,4975
