kom2024,parti,aar,stemmer
3411,06,2025,769
3411,07,2021,437
3411,07,2025,380
3411,150,2021,30
3411,122,2021,210
3411,122,2025,206
3411,151,2021,18
3411,158,2025,37
3411,154,2025,133
3411,152,2021,46
3411,152,2025,151
3411,123,2021,25
3411,123,2025,35
3411,133,2021,15
3411,159,2025,19
3411,153,2021,31
3411,153,2025,26
3411,10,2021,345
3411,10,2025,483
3411,156,2021,11
3411,132,2021,50
3411,132,2025,37
3412,01,2021,1556
3412,01,2025,1704
3412,02,2021,353
3412,02,2025,1014
3412,03,2021,309
3412,03,2025,252
3412,04,2021,99
3412,04,2025,125
3412,08,2021,95
3412,08,2025,132
3412,55,2021,137
3412,55,2025,218
3412,05,2021,1546
3412,05,2025,705
3412,06,2021,209
3412,06,2025,170
3412,07,2021,64
3412,07,2025,46
3412,150,2021,3
3412,122,2021,55
3412,122,2025,76
3412,151,2021,6
3412,158,2025,8
3412,154,2025,45
3412,152,2021,3
3412,152,2025,32
3412,123,2021,12
3412,123,2025,23
3412,133,2021,8
3412,159,2025,11
3412,153,2021,11
3412,153,2025,6
3412,10,2021,37
3412,10,2025,69
3412,156,2021,2
3412,132,2021,16
3412,132,2025,16
3413,01,2021,4205
3413,01,2025,4740
3413,02,2021,880
3413,02,2025,2259
3413,03,2021,1145
3413,03,2025,1050
3413,04,2021,419
3413,04,2025,571
3413,08,2021,286
3413,08,2025,452
3413,55,2021,449
3413,55,2025,674
3413,05,2021,3505
3413,05,2025,1488
3413,06,2021,960
3413,06,2025,716
3413,07,2021,290
3413,07,2025,252
3413,150,2021,8
3413,122,2021,93
3413,122,2025,192
3413,151,2021,12
3413,158,2025,34
3413,154,2025,77
3413,152,2021,13
3413,152,2025,62
3413,123,2021,46
3413,123,2025,52
3413,133,2021,11
3413,159,2025,16
3413,153,2021,29
3413,153,2025,11
3413,10,2021,78
3413,10,2025,179
3413,156,2021,3
3413,132,2021,29
3413,132,2025,29
3414,01,2021,1113
3414,01,2025,1005
3414,02,2021,279
3414,02,2025,767
3414,03,2021,196
3414,03,2025,164
3414,04,2021,27
3414,04,2025,44
