"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"1514","06","2","Sande (Møre og Romsdal)","","","","","","","560"
"1515","05","2","Herøy (Møre og Romsdal)","","","","","","","664"
"1516","04","2","Ulstein","","","","","","","719"
"1517","04","2","Hareid","","","","","","","683"
"1519","04","2","Volda (-2019)","","","","","","","705"
"1520","04","2","Ørsta","","","","","","","718"
"1523","03","2","Ørskog (1977-2019)","","","","","","","800"
"1524","06","2","Norddal (-2019)","","","","","","","564"
"1525","05","2","Stranda","","","","","","","628"
"1526","06","2","Stordal (-2019)","","","","","","","564"
"1528","04","2","Sykkylven","","","","","","","695"
"1529","03","2","Skodje (-2019)","","","","","","","800"
"1531","04","2","Sula","","","","","","","737"
"1532","04","2","Giske","","","","","","","714"
"1534","05","2","Haram (-2019)","","","","","","","625"
"1535","05","2","Vestnes","","","","","","","644"
"1539","05","2","Rauma","","","","","","","627"
"1543","04","2","Nesset (-2019)","","","","","","","740"
"1545","04","2","Midsund (-2019)","","","","","","","740"
"1546","03","2","Sandøy (-2019)","","","","","","","800"
"1547","05","2","Aukra","","","","","","","616"
"1548","05","2","Fræna (-2019)","","","","","","","651"
"1551","05","2","Eide (-2019)","","","","","","","651"
"1554","05","2","Averøy","","","","","","","611"
"1556","04","2","Frei (-2007)","","","","","","","749"
"1557","05","2","Gjemnes","","","","","","","576"
"1560","05","2","Tingvoll","","","","","","","568"
"1563","05","2","Sunndal","","","","","","","640"
"1566","05","2","Surnadal","","","","","","","607"
"1567","05","2","Rindal (-2018)","","","","","","","607"
"1569","06","2","Aure (-2005)","","","","","","","501"
"1571","05","2","Halsa (-2019)","","","","","","","588"
"1572","06","2","Tustna (-2005)","","","","","","","501"
"1573","06","2","Smøla","","","","","","","501"
"1576","06","2","Aure","","","","","","","501"
"1577","04","2","Volda","","","","","","","705"
"1578","06","2","Fjord","","","","","","","564"
"1579","05","2","Hustadvika","","","","","","","651"
"1580","05","2","Haram","","","","","","","625"
"1601","02","2","Trondheim (-2017)","","","","","","","885"
"1612","05","2","Hemne (-2017)","","","","","","","588"
"1613","04","2","Snillfjord (-2017)","","","","","","","728"
"1617","06","2","Hitra (-2017)","","","","","","","551"
"1620","06","2","Frøya (-2017)","","","","","","","531"
"1621","05","2","Ørland (-2017)","","","","","","","603"
"1622","04","2","Agdenes (-2017)","","","","","","","728"
"1624","05","2","Rissa (-2017)","","","","","","","621"
"1627","05","2","Bjugn (-2017)","","","","","","","603"
"1630","06","2","Åfjord (-2017)","","","","","","","512"
"1632","06","2","Roan (-2017)","","","","","","","512"
"1633","06","2","Osen (-2017)","","","","","","","459"
"1634","05","2","Oppdal (-2017)","","","","","","","666"
"1635","05","2","Rennebu (-2017)","","","","","","","602"
"1636","04","2","Meldal (-2017)","","","","","","","728"
"1638","04","2","Orkdal (-2017)","","","","","","","728"
"1640","05","2","Røros (-2017)","","","","","","","644"
"1644","06","2","Holtålen (-2017)","","","","","","","524"
"1648","05","2","Midtre Gauldal (-2017)","","","","","","","657"
"1653","03","2","Melhus (-2017)","","","","","","","776"
"1657","04","2","Skaun (-2017)","","","","","","","746"
"1662","02","2","Klæbu (-2017)","","","","","","","885"
"1663","03","2","Malvik (-2017)","","","","","","","807"
"1664","05","2","Selbu (-2017)","","","","","","","643"
"1665","06","2","Tydal (-2017)","","","","","","","519"
"1702","04","2","Steinkjer (-2017)","","","","","","","721"
"1703","04","2","Namsos (-2017)","","","","","","","690"
"1711","05","2","Meråker (-2017)","","","","","","","626"
"1714","03","2","Stjørdal (-2017)","","","","","","","802"
"1717","05","2","Frosta (-2017)","","","","","","","657"
"1718","05","2","Leksvik (-2017)","","","","","","","621"
"1719","04","2","Levanger (-2017)","","","","","","","752"
