kom2024,parti,aar,stemmer
3911,08,2023,794
3911,05,2023,456
3911,07,2023,517
3911,90,2023,1474
3911,92,2023,836
4001,01,2023,4341
4001,02,2023,2107
4001,03,2023,4141
4001,04,2023,1132
4001,08,2023,640
4001,55,2023,1051
4001,05,2023,509
4001,06,2023,1072
4001,07,2023,509
4001,92,2023,2201
4003,01,2023,5703
4003,02,2023,4068
4003,03,2023,5746
4003,04,2023,1498
4003,08,2023,897
4003,55,2023,1502
4003,05,2023,1308
4003,06,2023,1696
4003,07,2023,677
4003,92,2023,2232
4005,01,2023,1837
4005,02,2023,684
4005,03,2023,1183
4005,04,2023,382
4005,55,2023,503
4005,05,2023,546
4005,06,2023,329
4005,07,2023,337
4005,92,2023,97
4010,01,2023,363
4010,03,2023,328
4010,04,2023,98
4010,05,2023,309
4010,06,2023,104
4012,01,2023,1656
4012,02,2023,2543
4012,03,2023,940
4012,04,2023,326
4012,55,2023,318
4012,05,2023,684
4012,06,2023,277
4012,07,2023,267
4014,01,2023,943
4014,02,2023,1182
4014,03,2023,743
4014,04,2023,217
4014,08,2023,424
4014,55,2023,855
4014,05,2023,409
4014,06,2023,179
4014,07,2023,155
4014,92,2023,210
4016,01,2023,654
4016,02,2023,293
4016,04,2023,136
4016,08,2023,109
4016,05,2023,461
4016,06,2023,141
4016,90,2023,240
4018,01,2023,912
4018,02,2023,467
4018,03,2023,459
4018,04,2023,94
4018,08,2023,180
4018,05,2023,676
4018,06,2023,156
4018,07,2023,36
4018,92,2023,117
4020,01,2023,731
4020,02,2023,595
4020,03,2023,570
4020,04,2023,225
4020,08,2023,355
4020,55,2023,192
4020,05,2023,1397
4020,06,2023,279
4020,07,2023,386
4022,01,2023,334
4022,02,2023,379
4022,03,2023,404
4022,55,2023,125
4022,05,2023,261
4024,01,2023,437
4024,04,2023,107
4024,05,2023,234
4026,01,2023,882
4026,02,2023,219
4026,03,2023,628
4026,08,2023,61
4026,05,2023,450
4026,06,2023,416
4026,07,2023,86
4028,01,2023,330
4028,03,2023,157
4028,04,2023,334
4028,05,2023,329
4028,07,2023,59
4030,01,2023,234
4030,02,2023,58
4030,03,2023,118
4030,04,2023,146
4030,05,2023,291
4032,01,2023,330
4032,05,2023,268
4034,01,2023,344
4034,03,2023,136
4034,04,2023,48
4034,08,2023,79
4034,05,2023,523
4034,06,2023,66
4036,01,2023,252
4036,02,2023,78
4036,03,2023,117
4036,05,2023,627
