kode,husholdtype,variabel,aar,verdi
0105,0000,InntSkatt,2009,371000
0105,0000,InntSkatt,2010,385000
0105,0000,InntSkatt,2011,402000
0105,0000,InntSkatt,2012,415000
0105,0000,InntSkatt,2013,425000
0105,0000,InntSkatt,2014,439000
0105,0000,InntSkatt,2015,456000
0105,0000,InntSkatt,2016,467000
0105,0000,InntSkatt,2017,481000
0105,0000,InntSkatt,2018,493000
0105,0000,InntSkatt,2019,507000
0105,0000,AntallHushold,2005,22090
0105,0000,AntallHushold,2006,22591
0105,0000,AntallHushold,2007,22958
0105,0000,AntallHushold,2008,23196
0105,0000,AntallHushold,2009,23350
0105,0000,AntallHushold,2010,23588
0105,0000,AntallHushold,2011,23832
0105,0000,AntallHushold,2012,24094
0105,0000,AntallHushold,2013,24243
0105,0000,AntallHushold,2014,24284
0105,0000,AntallHushold,2015,24455
0105,0000,AntallHushold,2016,24590
0105,0000,AntallHushold,2017,24868
0105,0000,AntallHushold,2018,25197
0105,0000,AntallHushold,2019,25569
0106,0000,InntSkatt,2005,312000
0106,0000,InntSkatt,2006,326000
0106,0000,InntSkatt,2007,351000
0106,0000,InntSkatt,2008,376000
0106,0000,InntSkatt,2009,380000
0106,0000,InntSkatt,2010,394000
0106,0000,InntSkatt,2011,415000
0106,0000,InntSkatt,2012,428000
0106,0000,InntSkatt,2013,442000
0106,0000,InntSkatt,2014,454000
0106,0000,InntSkatt,2015,470000
0106,0000,InntSkatt,2016,476000
0106,0000,InntSkatt,2017,489000
0106,0000,InntSkatt,2018,500000
0106,0000,InntSkatt,2019,514000
0106,0000,AntallHushold,2005,30790
0106,0000,AntallHushold,2006,31321
0106,0000,AntallHushold,2007,31807
0106,0000,AntallHushold,2008,32203
0106,0000,AntallHushold,2009,32528
0106,0000,AntallHushold,2010,32824
0106,0000,AntallHushold,2011,33236
0106,0000,AntallHushold,2012,33854
0106,0000,AntallHushold,2013,34374
0106,0000,AntallHushold,2014,34728
0106,0000,AntallHushold,2015,35003
0106,0000,AntallHushold,2016,35538
0106,0000,AntallHushold,2017,36153
0106,0000,AntallHushold,2018,36666
0106,0000,AntallHushold,2019,37287
0111,0000,InntSkatt,2005,358000
0111,0000,InntSkatt,2006,365000
0111,0000,InntSkatt,2007,394000
0111,0000,InntSkatt,2008,426000
0111,0000,InntSkatt,2009,423000
0111,0000,InntSkatt,2010,442000
0111,0000,InntSkatt,2011,459000
0111,0000,InntSkatt,2012,488000
0111,0000,InntSkatt,2013,492000
0111,0000,InntSkatt,2014,509000
0111,0000,InntSkatt,2015,535000
0111,0000,InntSkatt,2016,536000
0111,0000,InntSkatt,2017,554000
0111,0000,InntSkatt,2018,567000
0111,0000,InntSkatt,2019,573000
0111,0000,AntallHushold,2005,1584
0111,0000,AntallHushold,2006,1665
0111,0000,AntallHushold,2007,1732
0111,0000,AntallHushold,2008,1749
0111,0000,AntallHushold,2009,1793
0111,0000,AntallHushold,2010,1825
0111,0000,AntallHushold,2011,1868
0111,0000,AntallHushold,2012,1912
0111,0000,AntallHushold,2013,1982
0111,0000,AntallHushold,2014,2029
0111,0000,AntallHushold,2015,2041
0111,0000,AntallHushold,2016,2081
0111,0000,AntallHushold,2017,2101
0111,0000,AntallHushold,2018,2146
0111,0000,AntallHushold,2019,2196
0118,0000,InntSkatt,2005,325000
0118,0000,InntSkatt,2006,349000
0118,0000,InntSkatt,2007,385000
0118,0000,InntSkatt,2008,402000
0118,0000,InntSkatt,2009,408000
0118,0000,InntSkatt,2010,424000
0118,0000,InntSkatt,2011,439000
0118,0000,InntSkatt,2012,467000
0118,0000,InntSkatt,2013,471000
0118,0000,InntSkatt,2014,490000
0118,0000,InntSkatt,2015,489000
0118,0000,InntSkatt,2016,491000
0118,0000,InntSkatt,2017,498000
0118,0000,InntSkatt,2018,518000
0118,0000,InntSkatt,2019,522000
0118,0000,AntallHushold,2005,571
0118,0000,AntallHushold,2006,555
0118,0000,AntallHushold,2007,570
0118,0000,AntallHushold,2008,573
0118,0000,AntallHushold,2009,571
0118,0000,AntallHushold,2010,568
0118,0000,AntallHushold,2011,574
0118,0000,AntallHushold,2012,578
0118,0000,AntallHushold,2013,591
0118,0000,AntallHushold,2014,595
0118,0000,AntallHushold,2015,602
