Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
02;Akershus;0226;Sørum;0006;Haugtun;1373;252;886;1138;0;0;0;870;870;0;0;0;6;
02;Akershus;0227;Fet;0000;Uoppgitt krets;17;9;4;13;0;0;1603;66;1669;6;6;5;5;
02;Akershus;0227;Fet;0001;Garderåsen;1984;422;1222;1644;0;1;0;1199;1199;0;0;0;3;
02;Akershus;0227;Fet;0002;Hovinhøgda;2529;520;1521;2041;0;0;0;1516;1516;0;1;0;6;
02;Akershus;0227;Fet;0003;Roven;1344;285;828;1113;0;0;0;805;805;0;0;0;7;
02;Akershus;0227;Fet;0004;Jahren;831;174;492;666;0;0;0;488;488;0;0;0;2;
02;Akershus;0227;Fet;0005;Dalen;1040;167;618;785;0;0;0;614;614;0;0;0;4;
02;Akershus;0227;Fet;0006;Enebakkneset;242;26;158;184;0;0;0;156;156;0;0;0;3;
02;Akershus;0228;Rælingen;0000;Uoppgitt krets;40;21;1;22;0;0;3493;0;3493;3;3;15;15;
02;Akershus;0228;Rælingen;0001;Løvenstad;2027;453;1092;1545;1;2;0;1136;1136;0;0;0;9;
02;Akershus;0228;Rælingen;0002;Rud;3603;1243;1728;2971;0;0;0;1659;1659;0;2;0;8;
02;Akershus;0228;Rælingen;0003;Fjerdingby;2351;727;1086;1813;0;1;0;1233;1233;0;1;0;7;
02;Akershus;0228;Rælingen;0004;Smestad;1355;375;777;1152;0;1;0;698;698;0;0;0;2;
02;Akershus;0228;Rælingen;0005;Nordby;970;218;576;794;0;0;0;557;557;0;0;0;3;
02;Akershus;0228;Rælingen;0006;Blystadlia;1860;454;1012;1466;0;0;0;993;993;0;0;0;7;
02;Akershus;0229;Enebakk;0000;Uoppgitt krets;20;9;1;10;0;0;1559;0;1559;1;1;21;21;
02;Akershus;0229;Enebakk;0001;Flateby;2686;467;1634;2101;0;0;0;1631;1631;0;5;0;10;
02;Akershus;0229;Enebakk;0003;Ytre Enebakk;3556;704;2130;2834;0;0;0;2122;2122;0;0;0;17;
02;Akershus;0229;Enebakk;0004;Kirkebygden;1239;376;601;977;0;0;0;618;618;0;0;0;4;
02;Akershus;0230;Lørenskog;0000;Uoppgitt krets;76;30;4;34;3;3;6566;5;6571;48;48;32;32;
02;Akershus;0230;Lørenskog;0001;Fjellhamar A;3287;769;1949;2718;0;0;0;1986;1986;0;1;0;8;
02;Akershus;0230;Lørenskog;0002;Fjellhamar B;4159;922;2221;3143;0;0;0;2245;2245;0;0;0;15;
02;Akershus;0230;Lørenskog;0003;Solheim;6742;1932;3226;5158;0;2;0;3008;3008;0;1;0;24;
02;Akershus;0230;Lørenskog;0004;Finstad;3376;776;1864;2640;0;0;0;1839;1839;0;0;0;6;
02;Akershus;0230;Lørenskog;0006;Løkenåsen;2860;785;1229;2014;0;0;0;1215;1215;0;4;0;10;
02;Akershus;0230;Lørenskog;0007;Kurland;1558;267;1067;1334;0;0;0;1104;1104;0;0;0;12;
02;Akershus;0230;Lørenskog;0008;Rasta;4537;1090;2646;3736;1;1;0;2876;2876;0;4;0;19;
02;Akershus;0231;Skedsmo;0000;Uoppgitt krets;124;56;10;66;4;4;9611;42;9653;8;8;39;39;
02;Akershus;0231;Skedsmo;0001;Volla;3674;1074;1926;3000;0;0;0;1925;1925;0;2;0;11;
02;Akershus;0231;Skedsmo;0002;Midtre Lillestrøm;3712;1230;1549;2779;0;0;0;1694;1694;0;0;0;14;
02;Akershus;0231;Skedsmo;0003;Vigernes;3717;1014;1985;2999;0;0;0;1950;1950;0;10;0;13;
02;Akershus;0231;Skedsmo;0004;Holt/Vestvollen;3968;872;2181;3053;0;1;0;2086;2086;0;3;0;9;
02;Akershus;0231;Skedsmo;0005;Brånås;4090;902;2502;3404;0;1;0;2397;2397;0;1;0;11;
02;Akershus;0231;Skedsmo;0006;Skedsmokorset;3109;557;1890;2447;0;0;0;1984;1984;0;1;0;18;
02;Akershus;0231;Skedsmo;0007;Gamle Skjetten;4143;1030;2065;3095;0;0;0;2019;2019;0;2;0;14;
02;Akershus;0231;Skedsmo;0008;Skjettenbyen;3941;861;2086;2947;0;0;0;1967;1967;0;0;0;14;
02;Akershus;0231;Skedsmo;0009;Strømmen;5634;1764;2389;4153;1;2;0;2545;2545;0;7;0;13;
02;Akershus;0231;Skedsmo;0010;Leirsund;1262;254;774;1028;0;0;0;762;762;0;3;0;2;
02;Akershus;0233;Nittedal;0000;Uoppgitt krets;57;37;5;42;1;1;3695;4;3699;0;0;7;7;
02;Akershus;0233;Nittedal;0001;Søndre Nittedal;7709;1708;4597;6305;1;1;0;4589;4589;0;14;0;39;
02;Akershus;0233;Nittedal;0002;Nordre Nittedal;4578;1175;2736;3911;0;0;0;2805;2805;0;1;0;13;
02;Akershus;0233;Nittedal;0003;Hakadal;3750;772;2257;3029;0;1;0;2208;2208;0;6;0;13;
02;Akershus;0234;Gjerdrum;0000;Hele kommunen;4519;864;2840;3704;0;0;864;2847;3711;0;3;4;18;
02;Akershus;0235;Ullensaker;0000;Uoppgitt krets;76;25;9;34;0;0;7731;4;7735;36;36;49;49;
02;Akershus;0235;Ullensaker;0001;Åreppen;5230;2159;1893;4052;0;0;0;1856;1856;0;0;0;13;
02;Akershus;0235;Ullensaker;0004;Algarheim;1802;442;960;1402;0;0;0;884;884;0;0;0;7;
02;Akershus;0235;Ullensaker;0005;Nordkisa;1195;251;653;904;0;0;0;648;648;0;0;0;12;
02;Akershus;0235;Ullensaker;0006;Mogreina;1171;210;654;864;0;0;0;656;656;0;0;0;8;
02;Akershus;0235;Ullensaker;0007;Skogmo;5470;1727;2464;4191;0;0;0;2258;2258;0;1;0;28;
02;Akershus;0235;Ullensaker;0008;Hovin;1987;476;941;1417;0;0;0;862;862;0;1;0;6;
02;Akershus;0235;Ullensaker;0009;Jessheim;5458;2105;2147;4252;0;0;0;2572;2572;0;1;0;31;
02;Akershus;0235;Ullensaker;0010;Borgen;1304;350;699;1049;0;0;0;695;695;0;0;0;2;
02;Akershus;0236;Nes;0000;Uoppgitt krets;53;8;6;14;0;0;3579;4;3583;3;3;12;13;
02;Akershus;0236;Nes;0001;Fenstad;1801;268;1084;1352;0;0;0;1084;1084;0;1;0;14;
02;Akershus;0236;Nes;0004;Skogbygda;2048;409;1123;1532;0;0;0;1071;1071;0;0;0;8;
02;Akershus;0236;Nes;0006;Østgård;641;149;339;488;0;0;0;339;339;0;0;0;2;
02;Akershus;0236;Nes;0007;Årnes;3775;1331;1571;2902;0;0;0;1747;1747;0;4;0;6;
02;Akershus;0236;Nes;0008;Fjellfoten;1149;235;678;913;0;0;0;649;649;0;0;0;0;
02;Akershus;0236;Nes;0009;Framtun;1015;206;587;793;0;0;0;572;572;0;0;0;4;
02;Akershus;0236;Nes;0010;Auli;1577;270;975;1245;0;0;0;979;979;0;0;0;15;
02;Akershus;0236;Nes;0012;Neskollen;3412;705;1936;2641;0;0;0;1863;1863;0;0;0;9;
02;Akershus;0237;Eidsvoll;0000;Uoppgitt krets;48;12;1;13;1;1;3482;0;3482;15;15;26;26;
02;Akershus;0237;Eidsvoll;0001;Dal;2395;344;1344;1688;0;0;0;1390;1390;0;2;0;14;
02;Akershus;0237;Eidsvoll;0002;Råholt;4050;854;2179;3033;1;1;0;2182;2182;0;0;0;19;
02;Akershus;0237;Eidsvoll;0003;Eidsvoll Verk;2739;586;1492;2078;0;1;0;1486;1486;0;10;0;9;
02;Akershus;0237;Eidsvoll;0004;Vilberg;3555;872;1887;2759;1;1;0;1904;1904;0;12;0;11;
02;Akershus;0237;Eidsvoll;0005;Ås;2504;529;1409;1938;1;1;0;1370;1370;0;0;0;15;
