Tid,GodkjenteProsent,PolitParti,Region
2013 2013,24.8,02 Fremskrittspartiet,0137 Våler (Østfold) (-2019)
2017 2017,21.6,02 Fremskrittspartiet,0137 Våler (Østfold) (-2019)
2013 2013,26.6,03 Høyre,0137 Våler (Østfold) (-2019)
2017 2017,24.2,03 Høyre,0137 Våler (Østfold) (-2019)
2013 2013,6.4,04 Kristelig Folkeparti,0137 Våler (Østfold) (-2019)
2017 2017,4.9,04 Kristelig Folkeparti,0137 Våler (Østfold) (-2019)
2013 2013,9.4,05 Senterpartiet,0137 Våler (Østfold) (-2019)
2017 2017,17.7,05 Senterpartiet,0137 Våler (Østfold) (-2019)
2013 2013,1.7,06 Sosialistisk Venstreparti,0137 Våler (Østfold) (-2019)
2017 2017,3.7,06 Sosialistisk Venstreparti,0137 Våler (Østfold) (-2019)
2013 2013,2.8,07 Venstre,0137 Våler (Østfold) (-2019)
2017 2017,2.0,07 Venstre,0137 Våler (Østfold) (-2019)
2013 2013,1.6,08 Miljøpartiet de Grønne,0137 Våler (Østfold) (-2019)
2017 2017,2.0,08 Miljøpartiet de Grønne,0137 Våler (Østfold) (-2019)
2013 2013,0.8,55 Rødt,0137 Våler (Østfold) (-2019)
2017 2017,1.3,55 Rødt,0137 Våler (Østfold) (-2019)
2013 2013,26.2,01 Arbeiderpartiet,0138 Hobøl (-2019)
2017 2017,22.8,01 Arbeiderpartiet,0138 Hobøl (-2019)
2013 2013,26.6,02 Fremskrittspartiet,0138 Hobøl (-2019)
2017 2017,21.9,02 Fremskrittspartiet,0138 Hobøl (-2019)
2013 2013,23.2,03 Høyre,0138 Hobøl (-2019)
2017 2017,25.3,03 Høyre,0138 Hobøl (-2019)
2013 2013,6.4,04 Kristelig Folkeparti,0138 Hobøl (-2019)
2017 2017,6.0,04 Kristelig Folkeparti,0138 Hobøl (-2019)
2013 2013,6.6,05 Senterpartiet,0138 Hobøl (-2019)
2017 2017,10.5,05 Senterpartiet,0138 Hobøl (-2019)
2013 2013,2.2,06 Sosialistisk Venstreparti,0138 Hobøl (-2019)
2017 2017,2.9,06 Sosialistisk Venstreparti,0138 Hobøl (-2019)
2013 2013,4.5,07 Venstre,0138 Hobøl (-2019)
2017 2017,3.6,07 Venstre,0138 Hobøl (-2019)
2013 2013,2.6,08 Miljøpartiet de Grønne,0138 Hobøl (-2019)
2017 2017,3.6,08 Miljøpartiet de Grønne,0138 Hobøl (-2019)
2013 2013,0.5,55 Rødt,0138 Hobøl (-2019)
2017 2017,1.5,55 Rødt,0138 Hobøl (-2019)
